Anilla,NombreComun,NombreEspecie,Familia,Orden,Grupo,E,S,G,Ala,Peso,Dia,Mes,Año,Hora.C,Hora.F,Lugar,Municipio,Provincia,Anillador,Observaciones,FECHA,Observaciones simple
3037709,Azure-winged Magpie,Cyanopica cyanus,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,"Jays, Magpies, Crows, and Ravens",4,0,,,,20,2,1991,,,El Acebuche,Almonte,Huelva,Manuel Vazquez,,1991-02-20,control
3037709,Azure-winged Magpie,Cyanopica cyanus,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,"Jays, Magpies, Crows, and Ravens",4,0,,,,16,3,1991,,,El Acebuche,Almonte,Huelva,Manuel Vazquez,,1991-03-16,control
3037709,Azure-winged Magpie,Cyanopica cyanus,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,"Jays, Magpies, Crows, and Ravens",4,0,,,,17,3,1991,,,El Acebuche,Almonte,Huelva,Manuel Vazquez,,1991-03-17,control
3037710,Azure-winged Magpie,Cyanopica cyanus,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,"Jays, Magpies, Crows, and Ravens",4,0,0.0,,75.0,6,4,1991,,,El Acebuche,Almonte,Huelva,Manuel Vazquez,,1991-04-06,control
3037711,Azure-winged Magpie,Cyanopica cyanus,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,"Jays, Magpies, Crows, and Ravens",4,0,0.0,,,3,3,1991,,,El Acebuche,Almonte,Huelva,Manuel Vazquez,,1991-03-03,control
3037114,Azure-winged Magpie,Cyanopica cyanus,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,"Jays, Magpies, Crows, and Ravens",4,0,,,,3,3,1991,,,El Acebuche,Almonte,Huelva,Manuel Vazquez,,1991-03-03,control
3037114,Azure-winged Magpie,Cyanopica cyanus,"Corvidae (Crows, Jays, and Magpies)",Passeriformes,"Jays, Magpies, Crows, and Ravens",4,0,0.0,,77.5,7,4,1991,,,El Acebuche,Almonte,Huelva,Manuel Vazquez,,1991-04-07,control
176655,Cetti's Warbler,Cettia cetti,Scotocercidae (Bush Warblers and Allies),Passeriformes,Bush Warblers and Allies,4,2,0.0,,,21,6,1987,,,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,,1987-06-21,control
176664,Cetti's Warbler,Cettia cetti,Scotocercidae (Bush Warblers and Allies),Passeriformes,Bush Warblers and Allies,3,0,0.0,,,5,7,1987,,,Huerta Daniel,Puebla del Rio,Sevilla,Manuel Vazquez,,1987-07-05,control
191389,Cetti's Warbler,Cettia cetti,Scotocercidae (Bush Warblers and Allies),Passeriformes,Bush Warblers and Allies,4,2,1.0,,,11,3,1988,,,Cerrado Chico,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-03-11,control
191400,Cetti's Warbler,Cettia cetti,Scotocercidae (Bush Warblers and Allies),Passeriformes,Bush Warblers and Allies,4,1,2.0,,,11,3,1988,,,Cerrado Chico,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-03-11,control
230331,Cetti's Warbler,Cettia cetti,Scotocercidae (Bush Warblers and Allies),Passeriformes,Bush Warblers and Allies,3,2,3.0,57.0,10.5,14,12,1988,,,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-12-14,control
231629,Cetti's Warbler,Cettia cetti,Scotocercidae (Bush Warblers and Allies),Passeriformes,Bush Warblers and Allies,3,2,4.0,57.0,11.0,17,11,1988,,,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-11-17,control
231630,Cetti's Warbler,Cettia cetti,Scotocercidae (Bush Warblers and Allies),Passeriformes,Bush Warblers and Allies,2,2,4.0,55.5,,29,12,1988,,,Lucio Poco Abrigo,Puebla del Rio,Sevilla,Manuel Vazquez,,1988-12-29,control
